"N_etrs89" "E_etrs89" "FE300ME" "BOTTOMCLS" "DIS_SAND" "ICELAST09" "RIVERS" "SAL910WIN" "DIST20M" "CHL_A" "TEMP09M" "SALT09M"
4613938 4979250 26962 1 7 17 4817 3.8883 254308 41.3 4.98994634493466 3.04524969284508
4603794 4975486 9009 1 11 18 17514 3.9841 183764 42.57 4.89860719702379 3.17232120756766
4354054 4917420 6956 4 78 13 11359 6.3237 112367 24.46 6.88501781944795 5.08295708942558
4353825 4915609 98953 4 79 13 12523 6.3239 92485 24.12 6.88179962798244 5.11777096791931
4353071 4915632 100218 5 79 13 12819 6.3239 111941 24.12 6.86704172182755 5.10572743274717
4353255 4916489 27018 4 79 13 12899 6.3239 115455 24.12 6.87051250484915 5.08180717536803
4352728 4916865 34321 4 79 13 12115 6.3237 103882 23.2 6.87051250484915 5.08180717536803
4352606 4916913 40021 4 79 13 12115 6.3237 103882 23.2 6.87051250484915 5.08180717536803
4351871 4916877 86606 4 78 13 11138 6.3237 85882 23.2 6.84640216406662 5.08644066611043
4352424 4919191 68362 4 78 13 8613 6.3237 153338 23.46 6.87007657656044 5.03428321722654
4352905 4919040 32118 4 78 13 9211 6.3237 148793 23.46 6.87522175220133 5.05468516814188
4353577 4923735 30928 4 79 15 4883 6.3237 290308 21.95 6.87121946043272 4.95402387990231
4353662 4923688 30928 4 79 15 4883 6.3237 290308 21.95 6.85476584505429 4.95025014283317
4353676 4923632 30928 2 79 15 4883 6.3237 290308 21.95 6.85476584505429 4.95025014283317
4352565 4924008 51412 5 79 15 3963 6.3237 280367 21.95 6.87867130967684 4.93303532402407
4352587 4924045 51412 5 79 15 3963 6.3237 289882 21.95 6.87867130967684 4.93303532402407
4352535 4923991 51412 5 79 15 3963 6.3237 280367 21.95 6.87867130967684 4.93303532402407
4536025 4818374 17756 4 12 13 5445 4.557 68911 30.96 4.89633429279307 3.0616499713568
4537208 4818003 459 3 12 13 5489 4.557 91455 30.99 4.89633429279307 3.0616499713568
4537387 4817925 459 3 12 13 5339 4.557 102000 30.99 4.89633429279307 3.0616499713568
4539035 4817110 243 3 11 13 3701 4.2524 129941 31.03 4.90205415442602 3.01422427316744
4540660 4816873 8212 1 11 13 2325 4.2524 149823 31.07 4.88612405261405 2.93615129037434
4540882 4817002 8212 3 11 13 1901 4.2524 140308 31.07 4.88612405261405 2.93615129037434
4542101 4817022 20662 1 11 13 1144 4.2524 158735 31.07 4.89799946971076 2.91916681481843
4542054 4821707 62381 4 13 13 1928 4.2524 72000 31.14 4.82333279722309 2.87917841872058
4542586 4821489 48421 1 13 13 2440 4.2524 86485 31.16 4.83536140420335 2.88912863299779
4543728 4819704 15496 1 13 13 319 4.2524 148367 31.16 4.90896253897584 2.89416414347982
4543661 4819968 38418 1 13 13 319 4.2524 139882 31.16 4.90896253897583 2.89416414347982
4541868 4816876 16621 1 11 13 1106 4.2524 152735 31.07 4.89799946971076 2.91916681481843
4536353 4815317 50803 1 13 15 2076 4.557 108852 31.01 4.9227996837229 3.04517329455904
4536542 4815819 11193 1 14 15 2701 4.557 98911 30.98 4.9227996837229 3.04517329455904
4450810 4750933 37 4 34 16 25501 5.7149 6000 28.03 4.86869286813519 4.33035091197852
4458391 4753796 815 4 31 13 13186 5.6693 6000 28.02 4.53958702571859 4.25460946947487
4455851 4743533 196 4 35 16 7848 5.6462 18000 28.5 4.18214856772398 4.30403573778097
4449638 4751787 103 5 35 13 28647 5.7149 14485 27.95 4.86869286813519 4.33035091197852
4449051 4749092 6796 1 35 13 30633 5.7149 22970 27.95 4.86869286813519 4.33035091197852
